INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abda Silva', 'AbdaSilva1@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amanda', 'Amanda@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amelia', 'Amelia@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('América', 'América@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ana', 'Ana@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anabel', 'Anabel@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anabelle', 'Anabelle@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ananda', 'Ananda@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anastácia', 'Anastácia@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Andréa', 'Andréa@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Andressa', 'Andressa@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anete', 'Anete@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Angela', 'Angela@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Angélica', 'Angélica@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Angelina', 'Angelina@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anita', 'Anita@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Antonia', 'Antonia@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Antonieta', 'Antonieta@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Antuérpia', 'Antuérpia@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aparecida', 'Aparecida@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Araci', 'Araci@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ariane', 'Ariane@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ariene', 'Ariene@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Arisla', 'Arisla@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Arissa', 'Arissa@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Arlette', 'Arlette@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Arminda', 'Arminda@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aryana', 'Aryana@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Astrid', 'Astrid@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Audrey', 'Audrey@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adelinda', 'Adelinda@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Assunção', 'Assunção@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Audrey', 'Audrey@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Augusta', 'Augusta@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aura', 'Aura@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aurelia', 'Aurelia@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aarão', 'Aarão@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abdala', 'Abdala@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abdemis', 'Abdemis@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abel', 'Abel@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abelardo', 'Abelardo@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abraão', 'Abraão@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Acácio', 'Acácio@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adalberto', 'Adalberto@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adamastor', 'Adamastor@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adão', 'Adão@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adauto', 'Adauto@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ademar', 'Ademar@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adib', 'Adib@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adolfo', 'Adolfo@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adriano', 'Adriano@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aécio', 'Aécio@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aelington', 'Aelington@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Agnaldo', 'Agnaldo@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alan', 'Alan@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alberico', 'Alberico@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alberto', 'Alberto@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alceu', 'Alceu@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alcir', 'Alcir@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aldo', 'Aldo@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alencar', 'Alencar@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alessandro', 'Alessandro@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alessio', 'Alessio@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alex', 'Alex@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alexsander', 'Alexsander@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alfredo', 'Alfredo@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alfeu', 'Alfeu@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Almir', 'Almir@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aluisio', 'Aluisio@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alvaro', 'Alvaro@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Altamir', 'Altamir@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amadeu', 'Amadeu@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amauri', 'Amauri@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Américo', 'Américo@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amin', 'Amin@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amâncio', 'Amâncio@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amilcar', 'Amilcar@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amir', 'Amir@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amon', 'Amon@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anat', 'Anat@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('André', 'André@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Andrew', 'Andrew@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Angel', 'Angel@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Angelo', 'Angelo@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anibal', 'Anibal@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anselmo', 'Anselmo@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Antero', 'Antero@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Anthony', 'Anthony@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Antonio', 'Antonio@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Arlindo', 'Arlindo@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Apolo', 'Apolo@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aquiles', 'Aquiles@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aristoteles', 'Aristoteles@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Armando', 'Armando@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Arnaldo', 'Arnaldo@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Arthur', 'Arthur@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ary', 'Ary@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Atanasio', 'Atanasio@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Atilio', 'Atilio@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Augusto', 'Augusto@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aurelio', 'Aurelio@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ayram', 'Ayram@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Ayrton', 'Ayrton@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Badia', 'Badia@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Barbara', 'Barbara@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bartira', 'Bartira@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Beatriz', 'Beatriz@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bela', 'Bela@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Belinda', 'Belinda@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Berenice', 'Berenice@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bernadete', 'Bernadete@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Berta', 'Berta@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Betânia', 'Betânia@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Beth', 'Beth@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Beverly', 'Beverly@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Betina', 'Betina@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bianca', 'Bianca@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Blanca', 'Blanca@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brenda', 'Brenda@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brigida', 'Brigida@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brigite', 'Brigite@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brisa', 'Brisa@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bruna Balbo', 'BrunaBalbo@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Baldoc', 'Baldoc@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Basilio', 'Basilio@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Batista', 'Batista@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Benicio', 'Benicio@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Benito', 'Benito@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Benjamin', 'Benjamin@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bento', 'Bento@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bernardo', 'Bernardo@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Billy', 'Billy@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bolivar', 'Bolivar@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bonifácio', 'Bonifácio@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bosco', 'Bosco@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brad', 'Brad@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brás', 'Brás@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brayan', 'Brayan@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brendon', 'Brendon@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Breno', 'Breno@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Brian', 'Brian@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bruce', 'Bruce@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Bruno', 'Bruno@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cacilda', 'Cacilda@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Camila', 'Camila@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Candida', 'Candida@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carla', 'Carla@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carlota', 'Carlota@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carmela', 'Carmela@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carmem', 'Carmem@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carol', 'Carol@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carole', 'Carole@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carolina', 'Carolina@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cassandra', 'Cassandra@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cassia', 'Cassia@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cassiane', 'Cassiane@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Catarina', 'Catarina@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cecile', 'Cecile@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cecília', 'Cecília@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Celene', 'Celene@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Celeste', 'Celeste@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Célia', 'Célia@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Celina', 'Celina@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Chantal', 'Chantal@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Charlote', 'Charlote@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Chaylla', 'Chaylla@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Chiara', 'Chiara@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cibele', 'Cibele@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cintia', 'Cintia@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Clara', 'Clara@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Clariana', 'Clariana@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Clarissa', 'Clarissa@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cláudia', 'Cláudia@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cleide', 'Cleide@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Clélia', 'Clélia@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cléo', 'Cléo@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cleonice', 'Cleonice@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cleonir', 'Cleonir@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cleopatra', 'Cleopatra@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cleuza', 'Cleuza@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Clotilde', 'Clotilde@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Conceição', 'Conceição@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Constance', 'Constance@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Corina', 'Corina@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cristiane', 'Cristiane@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cristina', 'Cristina@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Caetano', 'Caetano@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Caim', 'Caim@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Caiã', 'Caiã@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Caio', 'Caio@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Caique', 'Caique@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Camilo', 'Camilo@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carlito', 'Carlito@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carlos', 'Carlos@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Carmelo', 'Carmelo@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Casimiro', 'Casimiro@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cassio', 'Cassio@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cauê', 'Cauê@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cécil', 'Cécil@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Célio', 'Célio@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Celso', 'Celso@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cesar', 'Cesar@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Charles', 'Charles@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Chris', 'Chris@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Christian', 'Christian@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Cid', 'Cid@yahoo.com.br', 'F');
